phi0_omega_k,phi1_u_eff_k,phi2_bias,y_omega_k1
6.83646202,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.57999998,1.00000000,7.31342459
7.31342459,-0.66000003,1.00000000,7.94937420
7.94937420,-0.74000001,1.00000000,8.58532429
8.58532429,-0.74999994,1.00000000,9.38026237
9.38026237,-0.74999994,1.00000000,9.69823647
9.69823647,-0.74999994,1.00000000,9.85722446
9.85722446,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.67000008,1.00000000,10.01621151
10.01621151,-0.59000003,1.00000000,9.53924942
9.53924942,-0.50999999,1.00000000,9.22127438
9.22127438,-0.43000010,1.00000000,8.74431133
8.74431133,-0.35000008,1.00000000,8.42633629
8.42633629,-0.27000016,1.00000000,7.94937420
7.94937420,-0.19000015,1.00000000,7.63139963
7.63139963,-0.11000011,1.00000000,7.15443707
7.15443707,-0.03000008,1.00000000,6.83646202
6.83646202,0.04999995,1.00000000,3.97468710
3.97468710,0.12999985,1.00000000,0.15898748
0.15898748,0.20999989,1.00000000,-1.74886227
-1.74886227,0.28999990,1.00000000,-3.02076221
-3.02076221,0.36999983,1.00000000,-3.97468710
-3.97468710,0.44999984,1.00000000,-4.92861223
-4.92861223,0.52999985,1.00000000,-6.04152441
-6.04152441,0.60999990,1.00000000,-6.99544907
-6.99544907,0.68999982,1.00000000,-8.10836220
-8.10836220,0.74999994,1.00000000,-8.90329933
-8.90329933,0.74999994,1.00000000,-9.53924942
-9.53924942,0.74999994,1.00000000,-10.01621151
-10.01621151,0.74999994,1.00000000,-10.17519855
-10.17519855,0.74999994,1.00000000,-10.17519855
-10.17519855,0.74999994,1.00000000,-10.17519855
-10.17519855,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.67000008,1.00000000,-10.33418655
-10.33418655,0.59000003,1.00000000,-10.01621151
-10.01621151,0.50999999,1.00000000,-9.53924942
-9.53924942,0.43000010,1.00000000,-9.22127438
-9.22127438,0.35000008,1.00000000,-8.74431133
-8.74431133,0.27000016,1.00000000,-8.26734924
-8.26734924,0.19000015,1.00000000,-8.10836220
-8.10836220,0.11000011,1.00000000,-7.63139963
-7.63139963,0.03000008,1.00000000,-7.15443707
-7.15443707,-0.04999995,1.00000000,-4.29266214
-4.29266214,-0.12999985,1.00000000,-0.31797495
-0.31797495,-0.20999989,1.00000000,1.43088734
1.43088734,-0.28999990,1.00000000,3.02076221
3.02076221,-0.36999983,1.00000000,3.97468710
3.97468710,-0.44999984,1.00000000,4.92861223
4.92861223,-0.49999994,1.00000000,5.88253689
5.88253689,-0.49999994,1.00000000,6.35949945
6.35949945,-0.49999994,1.00000000,6.67747450
6.67747450,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.83646202
6.83646202,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.49999994,1.00000000,6.99544907
6.99544907,-0.42000005,1.00000000,6.83646202
6.83646202,-0.34000000,1.00000000,6.35949945
6.35949945,-0.26000011,1.00000000,6.20051193
6.20051193,-0.18000007,1.00000000,5.88253689
5.88253689,-0.10000004,1.00000000,5.56456184
5.56456184,-0.10000004,1.00000000,5.08759928
5.08759928,-0.10000004,1.00000000,4.92861223
4.92861223,-0.10000004,1.00000000,4.61063719
4.61063719,-0.10000004,1.00000000,4.29266214
4.29266214,-0.10000004,1.00000000,4.13367462
4.13367462,-0.10000004,1.00000000,3.81569982
3.81569982,-0.10000004,1.00000000,3.49772453
3.49772453,-0.10000004,1.00000000,3.33873725
3.33873725,-0.10000004,1.00000000,3.17974973
3.17974973,-0.10000004,1.00000000,2.86177468
2.86177468,-0.10000004,1.00000000,2.70278740
2.70278740,-0.10000004,1.00000000,2.54379964
2.54379964,-0.10000004,1.00000000,2.38481236
2.38481236,-0.10000004,1.00000000,2.22582483
2.22582483,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.18000007,1.00000000,2.38481236
2.38481236,-0.25999996,1.00000000,2.86177468
2.86177468,-0.34000000,1.00000000,3.81569982
3.81569982,-0.41999990,1.00000000,4.76962471
4.76962471,-0.49999994,1.00000000,5.72354937
5.72354937,-0.57999998,1.00000000,6.51848698
6.51848698,-0.66000003,1.00000000,7.63139963
7.63139963,-0.73999989,1.00000000,8.58532429
8.58532429,-0.74999994,1.00000000,9.38026237
9.38026237,-0.74999994,1.00000000,9.69823647
9.69823647,-0.74999994,1.00000000,9.85722446
9.85722446,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.01621151
10.01621151,-0.74999994,1.00000000,10.17519855
10.17519855,-0.74999994,1.00000000,10.17519855
10.17519855,-0.67000008,1.00000000,10.01621151
10.01621151,-0.59000003,1.00000000,9.53924942
9.53924942,-0.50999999,1.00000000,9.22127438
9.22127438,-0.43000010,1.00000000,8.90329933
8.90329933,-0.35000008,1.00000000,8.42633629
8.42633629,-0.27000016,1.00000000,7.94937420
7.94937420,-0.19000015,1.00000000,7.79038668
7.79038668,-0.11000011,1.00000000,7.31342459
7.31342459,-0.03000008,1.00000000,6.83646202
6.83646202,0.04999995,1.00000000,3.97468710
3.97468710,0.12999985,1.00000000,0.15898748
0.15898748,0.20999989,1.00000000,-1.58987486
-1.58987486,0.28999990,1.00000000,-2.86177468
-2.86177468,0.36999983,1.00000000,-3.97468710
-3.97468710,0.44999984,1.00000000,-5.08759928
-5.08759928,0.52999985,1.00000000,-6.04152441
-6.04152441,0.60999990,1.00000000,-6.99544907
-6.99544907,0.68999982,1.00000000,-7.94937420
-7.94937420,0.74999994,1.00000000,-9.06228733
-9.06228733,0.74999994,1.00000000,-9.53924942
-9.53924942,0.74999994,1.00000000,-10.01621151
-10.01621151,0.74999994,1.00000000,-10.01621151
-10.01621151,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.17519855
-10.17519855,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.74999994,1.00000000,-10.33418655
-10.33418655,0.74999994,1.00000000,-10.49317455
-10.49317455,0.67000008,1.00000000,-10.33418655
-10.33418655,0.59000003,1.00000000,-10.01621151
-10.01621151,0.50999999,1.00000000,-9.53924942
-9.53924942,0.43000010,1.00000000,-9.22127438
-9.22127438,0.35000008,1.00000000,-8.74431133
-8.74431133,0.29999998,1.00000000,-8.42633629
-8.42633629,0.29999998,1.00000000,-8.10836220
-8.10836220,0.29999998,1.00000000,-7.63139963
-7.63139963,0.29999998,1.00000000,-7.31342459
-7.31342459,0.29999998,1.00000000,-6.99544907
-6.99544907,0.29999998,1.00000000,-6.67747450
-6.67747450,0.29999998,1.00000000,-6.35949945
-6.35949945,0.29999998,1.00000000,-6.04152441
-6.04152441,0.29999998,1.00000000,-5.88253689
-5.88253689,0.29999998,1.00000000,-5.56456184
-5.56456184,0.29999998,1.00000000,-5.40557480
-5.40557480,0.29999998,1.00000000,-5.08759928
-5.08759928,0.29999998,1.00000000,-5.08759928
-5.08759928,0.29999998,1.00000000,-4.92861223
-4.92861223,0.29999998,1.00000000,-4.76962471
-4.76962471,0.29999998,1.00000000,-4.92861223
-4.92861223,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.76962471
-4.76962471,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.76962471
-4.76962471,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.76962471
-4.76962471,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.76962471
-4.76962471,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.61063719
-4.61063719,0.29999998,1.00000000,-4.76962471
-4.76962471,0.22000009,1.00000000,-4.45164967
-4.45164967,0.14000006,1.00000000,-4.45164967
-4.45164967,0.06000002,1.00000000,-3.97468710
-3.97468710,0.00000000,1.00000000,-3.97468710
-3.97468710,0.00000000,1.00000000,-3.33873725
-3.33873725,0.00000000,1.00000000,-3.02076221
-3.02076221,0.00000000,1.00000000,-2.54379964
-2.54379964,0.00000000,1.00000000,-2.38481236
-2.38481236,0.00000000,1.00000000,-1.90784991
-1.90784991,0.00000000,1.00000000,-1.58987486
-1.58987486,0.00000000,1.00000000,-1.11291242
-1.11291242,0.00000000,1.00000000,-0.95392495
-0.95392495,0.00000000,1.00000000,-0.63594991
-0.63594991,0.00000000,1.00000000,-0.31797495
-0.31797495,-0.08000004,1.00000000,0.63594991
0.63594991,-0.15999994,1.00000000,1.43088734
1.43088734,-0.23999996,1.00000000,2.54379964
2.54379964,-0.29999998,1.00000000,3.33873725
3.33873725,-0.29999998,1.00000000,3.97468710
3.97468710,-0.29999998,1.00000000,4.29266214
4.29266214,-0.29999998,1.00000000,4.29266214
4.29266214,-0.29999998,1.00000000,4.29266214
4.29266214,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.61063719
4.61063719,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.29999998,1.00000000,4.45164967
4.45164967,-0.22000009,1.00000000,4.45164967
4.45164967,-0.14000006,1.00000000,4.13367462
4.13367462,-0.10000004,1.00000000,3.81569982
3.81569982,-0.10000004,1.00000000,3.49772453
3.49772453,-0.10000004,1.00000000,3.49772453
3.49772453,-0.10000004,1.00000000,3.02076221
3.02076221,-0.10000004,1.00000000,3.02076221
3.02076221,-0.10000004,1.00000000,2.70278740
2.70278740,-0.10000004,1.00000000,2.54379964
2.54379964,-0.10000004,1.00000000,2.38481236
2.38481236,-0.10000004,1.00000000,2.22582483
2.22582483,-0.10000004,1.00000000,2.22582483
2.22582483,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
